
13:30:21        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:30:22        all      2.51      0.00      0.00      0.00      0.00     97.49
13:30:23        all      0.87      0.00      0.25      0.62      0.00     98.25
13:30:24        all      0.25      0.00      0.00      0.00      0.00     99.75
13:30:25        all      0.50      0.00      0.00      0.00      0.00     99.50
13:30:26        all      0.25      0.00      0.25      0.00      0.00     99.50
13:30:27        all      0.63      0.00      0.00      0.00      0.00     99.37
13:30:28        all      2.51      0.00      0.13      0.75      0.00     96.61
13:30:29        all      0.50      0.00      0.00      0.00      0.00     99.50
13:30:30        all      0.38      0.00      0.13      0.13      0.00     99.37
13:30:31        all      0.63      0.00      0.00      0.00      0.00     99.37
13:30:32        all      0.25      0.00      0.00      0.00      0.00     99.75
13:30:33        all      2.88      0.00      0.00      1.13      0.00     95.99
13:30:34        all      0.13      0.00      0.13      0.00      0.00     99.75
13:30:35        all      0.50      0.00      0.00      0.00      0.00     99.50
13:30:36        all      0.37      0.00      0.12      0.00      0.00     99.50
13:30:37        all      0.13      0.00      0.13      0.00      0.00     99.75
13:30:38        all      2.75      0.00      0.12      1.00      0.00     96.13
13:30:39        all      0.75      0.00      0.00      0.00      0.00     99.25
13:30:40        all      0.00      0.00      0.00      0.00      0.00    100.00
13:30:41        all      0.63      0.00      0.00      0.00      0.00     99.37
13:30:42        all      0.25      0.00      0.00      0.00      0.00     99.75
13:30:43        all      3.26      0.00      0.13      1.00      0.00     95.61
13:30:44        all      0.13      0.00      0.13      0.00      0.00     99.75
13:30:45        all      0.38      0.00      0.00      0.00      0.00     99.62
13:30:46        all      0.25      0.00      0.00      0.00      0.00     99.75
13:30:47        all      0.62      0.00      0.00      0.00      0.00     99.38
13:30:48        all      2.38      0.00      0.13      0.00      0.00     97.50
13:30:49        all      0.37      0.00      0.12      1.87      0.00     97.63
13:30:50        all      2.26      0.00      0.13      0.13      0.00     97.49
13:30:51        all      1.38      0.00      0.13      0.00      0.00     98.50
13:30:52        all      0.25      0.00      0.25      0.00      0.00     99.50
13:30:53        all      0.25      0.00      0.00      0.00      0.00     99.75
13:30:54        all      3.37      0.00      0.25      0.50      0.00     95.88
13:30:55        all      0.38      0.00      0.12      0.00      0.00     99.50
13:30:56        all      0.25      0.00      0.12      0.00      0.00     99.62
13:30:57        all      0.38      0.00      0.12      0.00      0.00     99.50
13:30:58        all      0.00      0.00      0.12      0.12      0.00     99.75
13:30:59        all      2.88      0.00      0.13      0.88      0.00     96.12
13:31:00        all      0.38      0.00      0.00      0.00      0.00     99.62
13:31:01        all      0.38      0.00      0.12      0.00      0.00     99.50
13:31:02        all      0.38      0.00      0.12      0.00      0.00     99.50
13:31:03        all      0.62      0.00      0.12      1.37      0.00     97.88
13:31:04        all      2.75      0.00      0.12      0.37      0.00     96.75
13:31:05        all      0.25      0.00      0.12      0.00      0.00     99.62
13:31:06        all      0.38      0.00      0.12      0.12      0.00     99.38
13:31:07        all      0.25      0.00      0.13      0.00      0.00     99.62
13:31:08        all      0.25      0.00      0.25      0.00      0.00     99.50
13:31:09        all      2.74      0.00      0.25      0.75      0.00     96.26
13:31:10        all      0.25      0.00      0.00      0.00      0.00     99.75
13:31:11        all      0.50      0.00      0.25      0.12      0.00     99.13
13:31:12        all      0.25      0.00      0.13      0.00      0.00     99.62
13:31:13        all      0.25      0.00      0.12      0.00      0.00     99.63
13:31:14        all      2.50      0.00      0.25      0.00      0.00     97.25
13:31:15        all      2.37      0.00      0.12      1.00      0.00     96.51
13:31:16        all      0.38      0.00      0.13      0.00      0.00     99.50
13:31:17        all      1.00      0.00      0.12      0.00      0.00     98.88
13:31:18        all      0.25      0.00      0.12      0.00      0.00     99.63
13:31:19        all      0.38      0.00      0.13      0.00      0.00     99.50
13:31:20        all      2.62      0.00      0.12      1.00      0.00     96.25
13:31:21        all      0.25      0.00      0.37      0.00      0.00     99.38
